latitude,longitude,nom_commune_complet,nom_departement,nom_region
46.1686327301,5.54656422194,Brion,Ain,Auvergne-Rhône-Alpes
45.7708330939,5.48537461884,Briord,Ain,Auvergne-Rhône-Alpes
46.2104135162,5.14487465017,Buellas,Ain,Auvergne-Rhône-Alpes
46.2104135162,5.14487465017,Buellas,Ain,Auvergne-Rhône-Alpes
45.8598709332,5.54609714598,La Burbanche,Ain,Auvergne-Rhône-Alpes
46.1256533435,5.49457379202,Ceignes,Ain,Auvergne-Rhône-Alpes
46.0720202633,5.47577586118,Cerdon,Ain,Auvergne-Rhône-Alpes
46.1337950959,5.26239539372,Certines,Ain,Auvergne-Rhône-Alpes
46.315689376,6.0779844362,Cessy,Ain,Auvergne-Rhône-Alpes
46.1832170988,5.32007207542,Ceyzériat,Ain,Auvergne-Rhône-Alpes
45.8335530148,5.71933090966,Ceyzérieu,Ain,Auvergne-Rhône-Alpes
46.0076491739,5.16936568,Chalamont,Ain,Auvergne-Rhône-Alpes
46.0340545373,4.79853838574,Chaleins,Ain,Auvergne-Rhône-Alpes
45.9533367734,5.53682505273,Chaley,Ain,Auvergne-Rhône-Alpes
46.1221539654,5.45755377201,Challes-la-Montagne,Ain,Auvergne-Rhône-Alpes
46.1768358327,5.97115092939,Challex,Ain,Auvergne-Rhône-Alpes
45.9316447397,5.69321890072,Champagne-en-Valromey,Ain,Auvergne-Rhône-Alpes
45.9316447397,5.69321890072,Champagne-en-Valromey,Ain,Auvergne-Rhône-Alpes
45.9316447397,5.69321890072,Champagne-en-Valromey,Ain,Auvergne-Rhône-Alpes
46.0198844188,5.60008759722,Champdor-Corcelles,Ain,Auvergne-Rhône-Alpes
46.0198844188,5.60008759722,Champdor-Corcelles,Ain,Auvergne-Rhône-Alpes
46.220365768,5.82233573131,Champfromier,Ain,Auvergne-Rhône-Alpes
46.005695299,5.76893393185,Chanay,Ain,Auvergne-Rhône-Alpes
46.0934984191,4.85473364691,Chaneins,Ain,Auvergne-Rhône-Alpes
46.1861812234,5.02807719246,Chanoz-Châtenay,Ain,Auvergne-Rhône-Alpes
46.0744536905,5.02162055898,La Chapelle-du-Châtelard,Ain,Auvergne-Rhône-Alpes
46.1856344066,5.6811896084,Charix,Ain,Auvergne-Rhône-Alpes
45.8736786869,5.2211032563,Charnoz-sur-Ain,Ain,Auvergne-Rhône-Alpes
45.9730390239,5.30754273532,Château-Gaillard,Ain,Auvergne-Rhône-Alpes
46.0259402155,5.2048590395,Châtenay,Ain,Auvergne-Rhône-Alpes
46.1293337743,5.770176021,Châtillon-en-Michaille,Ain,Auvergne-Rhône-Alpes
46.1293337743,5.770176021,Châtillon-en-Michaille,Ain,Auvergne-Rhône-Alpes
46.1293337743,5.770176021,Châtillon-en-Michaille,Ain,Auvergne-Rhône-Alpes
45.9748017433,5.2416027725,Châtillon-la-Palud,Ain,Auvergne-Rhône-Alpes
46.1232390685,4.95810003714,Châtillon-sur-Chalaronne,Ain,Auvergne-Rhône-Alpes
46.4379785193,5.00693749662,Chavannes-sur-Reyssouze,Ain,Auvergne-Rhône-Alpes
46.2750157946,5.41649423093,Nivigne et Suran,Ain,Auvergne-Rhône-Alpes
46.1991513767,5.0564069258,Chaveyriat,Ain,Auvergne-Rhône-Alpes
45.8824049535,5.72499814516,Chavornay,Ain,Auvergne-Rhône-Alpes
45.7925770617,5.68477063188,Chazey-Bons,Ain,Auvergne-Rhône-Alpes
45.8929448968,5.25528498524,Chazey-sur-Ain,Ain,Auvergne-Rhône-Alpes
45.8227204334,5.6050023969,Cheignieu-la-Balme,Ain,Auvergne-Rhône-Alpes
46.1103512578,5.58116056005,Chevillard,Ain,Auvergne-Rhône-Alpes
46.38249255,4.96288275972,Chevroux,Ain,Auvergne-Rhône-Alpes
46.283152935,6.04707941462,Chevry,Ain,Auvergne-Rhône-Alpes
46.222573373,5.87248105275,Chézery-Forens,Ain,Auvergne-Rhône-Alpes
46.222573373,5.87248105275,Chézery-Forens,Ain,Auvergne-Rhône-Alpes
45.922467454,4.88633786877,Civrieux,Ain,Auvergne-Rhône-Alpes
46.2003848172,5.45082526739,Cize,Ain,Auvergne-Rhône-Alpes
45.902146623,5.43272695486,Cleyzieu,Ain,Auvergne-Rhône-Alpes
46.3866637865,5.3308227014,Coligny,Ain,Auvergne-Rhône-Alpes
46.1419227898,5.90040256654,Collonges,Ain,Auvergne-Rhône-Alpes
45.7361469025,5.62670101041,Colomieu,Ain,Auvergne-Rhône-Alpes
45.8834810846,5.47541328981,Conand,Ain,Auvergne-Rhône-Alpes
46.105831161,5.55568206762,Condamine,Ain,Auvergne-Rhône-Alpes
46.1538469834,5.08437171701,Condeissiat,Ain,Auvergne-Rhône-Alpes
46.1543700156,5.83319395258,Confort,Ain,Auvergne-Rhône-Alpes
46.270304175,5.05775217893,Confrançon,Ain,Auvergne-Rhône-Alpes
45.8009403071,5.62087768159,Contrevoz,Ain,Auvergne-Rhône-Alpes
45.7253102173,5.60442351043,Conzieu,Ain,Auvergne-Rhône-Alpes
45.9659473187,5.78961970355,Corbonod,Ain,Auvergne-Rhône-Alpes
46.0336885573,5.49635755029,Corlier,Ain,Auvergne-Rhône-Alpes
45.9442772826,5.60860828487,Cormaranche-en-Bugey,Ain,Auvergne-Rhône-Alpes
46.2403530179,4.8276569593,Cormoranche-sur-Saône,Ain,Auvergne-Rhône-Alpes
46.4336632942,5.22181275755,Cormoz,Ain,Auvergne-Rhône-Alpes
46.2505107235,5.47152467919,Corveissiat,Ain,Auvergne-Rhône-Alpes
46.3267864521,5.35558241812,Courmangoux,Ain,Auvergne-Rhône-Alpes
46.4570082032,5.11128546723,Courtes,Ain,Auvergne-Rhône-Alpes
45.9663793103,5.19490390871,Crans,Ain,Auvergne-Rhône-Alpes
46.3130831891,5.17796707174,Cras-sur-Reyssouze,Ain,Auvergne-Rhône-Alpes
45.7826434885,5.76546256637,Cressin-Rochefort,Ain,Auvergne-Rhône-Alpes
46.283072336,4.87747971182,Crottet,Ain,Auvergne-Rhône-Alpes
46.283072336,4.87747971182,Crottet,Ain,Auvergne-Rhône-Alpes
46.2915659686,5.99510417092,Crozet,Ain,Auvergne-Rhône-Alpes
46.2220588715,4.8752193513,Cruzilles-lès-Mépillat,Ain,Auvergne-Rhône-Alpes
45.8559966843,5.78398308932,Culoz,Ain,Auvergne-Rhône-Alpes
46.4885456881,5.16344336837,Curciat-Dongalon,Ain,Auvergne-Rhône-Alpes
46.273150382,5.1020896267,Curtafond,Ain,Auvergne-Rhône-Alpes
45.8200002803,5.6765554896,Cuzieu,Ain,Auvergne-Rhône-Alpes
45.8531616918,5.07289166803,Dagneux,Ain,Auvergne-Rhône-Alpes
46.3756333495,6.1158647611,Divonne-les-Bains,Ain,Auvergne-Rhône-Alpes
46.33627762,4.99863894,Dommartin,Ain,Auvergne-Rhône-Alpes
46.0667883703,5.21665199666,Dompierre-sur-Veyle,Ain,Auvergne-Rhône-Alpes
46.1415406621,4.90141714714,Dompierre-sur-Chalaronne,Ain,Auvergne-Rhône-Alpes
46.4244066427,5.29313479651,Domsure,Ain,Auvergne-Rhône-Alpes
46.3133221173,5.64146584117,Dortan,Ain,Auvergne-Rhône-Alpes
45.984297392,5.37106901673,Douvres,Ain,Auvergne-Rhône-Alpes
46.2196603059,5.36799994918,Drom,Ain,Auvergne-Rhône-Alpes
46.067579544,5.29361666429,Druillat,Ain,Auvergne-Rhône-Alpes
46.2271364137,5.73330448395,Échallon,Ain,Auvergne-Rhône-Alpes
46.3160845207,6.01926187996,Échenevex,Ain,Auvergne-Rhône-Alpes
46.3380891758,5.19286414645,Étrez,Ain,Auvergne-Rhône-Alpes
